Source;Destination;Distance
AAL;AAR;100.089
AAL;OSL;352.979
AAN;AMM;2095.056
AAR;BMA;551.792
AAR;GOT;182.281
AAR;OSL;434.634
ABC;BCN;425.261
ABI;DFW;253.814
ABQ;AUS;995.664
ABQ;BNA;1807.354
ABQ;CMH;2160.541
ABQ;DFW;915.542
ABQ;MCI;1156.095
ABQ;MEM;1515.858
ABQ;MTY;1201.128
ABQ;ORD;1798.941
ABQ;PHL;2811.698
ABQ;STL;1502.528
ABV;LHR;4761.842
ABX;SYD;451.294
ABZ;LHR;647.075
ACA;AUS;1503.232
ACA;DFW;1808.539
ACA;ORD;3016.040
ACA;RIC;3181.486
ACC;LHR;5085.294
ACE;AGP;1207.953
ACE;MAD;1574.475
ACE;SVQ;1182.319
ACT;DFW;143.700
ADB;LGW;2571.659
ADE;AMM;2287.383
ADL;ASP;1313.319
ADL;BNE;1621.158
ADL;CBR;972.426
ADL;DRW;2613.085
ADL;HKG;6838.748
ADL;MEL;642.519
ADL;OLP;518.297
ADL;PER;2119.738
ADL;SIN;5391.883
ADL;SYD;1166.731
AEP;BRC;1336.769
AEP;COR;649.557
AEP;CRD;1463.406
AEP;EZE;31.191
AEP;FTE;2068.557
AEP;IGR;1048.810
AEP;MDZ;980.540
AEP;NQN;996.089
AEP;RGL;2086.330
AEP;SLA;1273.813
AEP;UAQ;990.571
AEP;USH;2380.724
AEX;DFW;457.893
AGJ;OKA;59.670
AGP;CMN;462.759
AGP;CPH;2472.811
AGP;IBZ;571.837
AGP;LGW;1644.189
AGP;LHR;1675.589
AGP;LPA;1409.260
AGP;MAD;431.597
AGP;MLN;208.137
AGP;OVD;775.963
AGP;SDR;751.947
AGP;TFN;1433.812
AGP;TNG;165.294
AGP;VLC;470.891
AGP;VLL;559.380
AGU;DFW;1345.107
AKJ;HND;929.883
AKJ;ITM;1156.279
AKJ;KIX;1198.930
AKL;BNE;2297.792
AKL;CHC;744.819
AKL;HKG;9134.605
AKL;LAX;10467.125
AKL;MEL;2643.570
AKL;SCL;9673.896
AKL;SYD;2164.200
AKL;WLG;479.501
AKL;ZQN;1024.498
ALC;BIO;591.582
ALC;IBZ;180.611
ALC;LGW;1430.018
ALC;LPA;1793.974
ALC;MAD;356.973
ALC;OVD;745.811
ALC;SDR;633.958
ALC;SVQ;479.167
ALC;TFN;1822.601
ALG;LHR;1668.598
ALG;MAD;725.800
ALP;AMM;507.400
ALY;AMM;577.542
AMA;DFW;501.998
AMM;AMS;3405.207
AMM;AQJ;251.985
AMM;ATH;1298.326
AMM;AUH;2000.212
AMM;BAH;1547.500
AMM;BCN;3194.506
AMM;BEY;237.461
AMM;BKK;6848.545
AMM;BOM;3942.084
AMM;BUD;2250.822
AMM;CAI;472.993
AMM;CDG;3385.542
AMM;CMB;5296.007
AMM;DAM;193.485
AMM;DEL;3953.102
AMM;DME;2635.895
AMM;DMM;1462.965
AMM;DOH;1682.124
AMM;DTW;9745.192
AMM;DXB;2024.054
AMM;FCO;2385.674
